Notes,"Auto (only x, y and -1 will be used)",Main catego,Sub catego name,sub gatego acrynom,Four letter name,"Tail, chain B (GL2, sn-1)","Tail, chain A (GL1, sn-2)","Tail, chain C (only used in TAG)",tail name,Common name,"Description (e.g. mapped structure, example of underlying AA names)",Keywords,Parameterization,Ref(s),Created,Author(s),Modified,Ref area per lipid (nm^2),Warninigs/Notes,,Generator -alhead,Generator -allink,Generator -altail,Sim setup -charge,General notes
,x,K2,KC2 headgroup IL - Neutral,K2,SLK2,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,KC2 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,K2,,CCCC CDDC,0,
,x,K2,KC2 headgroup IL - Neutral,K2,OLK2,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,KC2 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,K2,,CDCC CDDC,0,
,x,K2,KC2 headgroup IL - Neutral,K2,OEK2,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,KC2 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,K2,,CDCC CCDCC,0,
,x,K2,KC2 headgroup IL - Neutral,K2,LFK2,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,KC2 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,K2,,CDDC CDDD,0,
,x,K2,KC2 headgroup IL - Neutral,K2,DUK2,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,KC2 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,K2,,CDDC CDDC,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_KC2H_dev_v1.itp,KC2 headgroup IL - Charged,Collection of Ionizable Martini 3 lipids with a KC2 headgroup - Charged,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,KP,KC2 headgroup IL - Charged,KP,DLKP,CCC,CCC,,di-C14:0,di-C14:0,KC2 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,KP,,CCC CCC,1,
,x,KP,KC2 headgroup IL - Charged,KP,DSKP,CCCC,CCCC,,di-C18:0,di-C18:0,KC2 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,KP,,CCCC CCCC,1,
,x,KP,KC2 headgroup IL - Charged,KP,DBKP,CCCCC,CCCCC,,di-C22:0,di-C22:0,KC2 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,KP,,CCCCC CCCCC,1,
,x,KP,KC2 headgroup IL - Charged,KP,DOKP,CDCC,CDCC,,di-C18:1,di-C18:1,KC2 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,KP,,CDCC CDCC,1,
,x,KP,KC2 headgroup IL - Charged,KP,DVKP,CCDC,CCDC,,di-C18:1,di-C18:1,KC2 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,KP,,CCDC CCDC,1,
,x,KP,KC2 headgroup IL - Charged,KP,DEKP,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DEKP),KC2 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,KP,,CCDCC CCDCC,1,
,x,KP,KC2 headgroup IL - Charged,KP,DNKP,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of ionizable Martini 3 lipids with a tertiary amine as head and two ethers as linkers - Neutral (DNKP),KC2 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,KP,,CCCDCC CCCDCC,1,
,x,KP,KC2 headgroup IL - Charged,KP,SOKP,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,KC2 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,KP,,CCCC CDCC,1,
,x,KP,KC2 headgroup IL - Charged,KP,SLKP,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,KC2 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,KP,,CCCC CDDC,1,
,x,KP,KC2 headgroup IL - Charged,KP,OLKP,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,KC2 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,KP,,CDCC CDDC,1,
,x,KP,KC2 headgroup IL - Charged,KP,OEKP,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,KC2 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,KP,,CDCC CCDCC,1,
,x,KP,KC2 headgroup IL - Charged,KP,LFKP,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,KC2 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,KP,,CDDC CDDD,1,
,x,KP,KC2 headgroup IL - Charged,KP,DUKP,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,KC2 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,KP,,CDDC CDDC,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_DT_dev_v1.itp,Tertiary amine with two ethers as linkers - Neutral,Collection of ionizable Martini 3 lipids with a tertiary amine as head and two ethers as linkers - Neutral,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,DT,Tertiary amine with two ethers as linkers - Neutral,DT,DLDT,CCC,CCC,,di-C14:0,di-C14:0,Tertiary amine with two ethers as linkers - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,DT,,CCC CCC,0,
,x,DT,Tertiary amine with two ethers as linkers - Neutral,DT,DSDT,CCCC,CCCC,,di-C18:0,di-C18:0,Tertiary amine with two ethers as linkers - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,DT,,CCCC CCCC,0,
,x,DT,Tertiary amine with two ethers as linkers - Neutral,DT,DBDT,CCCCC,CCCCC,,di-C22:0,di-C22:0,Tertiary amine with two ethers as linkers - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,DT,,CCCCC CCCCC,0,
,x,DT,Tertiary amine with two ethers as linkers - Neutral,DT,DODT,CDCC,CDCC,,di-C18:1,di-C18:1,Tertiary amine with two ethers as linkers - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,DT,,CDCC CDCC,0,
,x,DT,Tertiary amine with two ethers as linkers - Neutral,DT,DVDT,CCDC,CCDC,,di-C18:1,di-C18:1,Tertiary amine with two ethers as linkers - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,DT,,CCDC CCDC,0,
,x,DT,Tertiary amine with two ethers as linkers - Neutral,DT,DEDT,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DEDT),Tertiary amine with two ethers as linkers - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,DT,,CCDCC CCDCC,0,
,x,DT,Tertiary amine with two ethers as linkers - Neutral,DT,DNDT,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of ionizable Martini 3 lipids with a tertiary amine as head and two ethers as linkers. - Charged (DNDT),Tertiary amine with two ethers as linkers - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,DT,,CCCDCC CCCDCC,0,
,x,DT,Tertiary amine with two ethers as linkers - Neutral,DT,SODT,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,Tertiary amine with two ethers as linkers - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,DT,,CCCC CDCC,0,
,x,DT,Tertiary amine with two ethers as linkers - Neutral,DT,SLDT,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,Tertiary amine with two ethers as linkers - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,DT,,CCCC CDDC,0,
,x,DT,Tertiary amine with two ethers as linkers - Neutral,DT,OLDT,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,Tertiary amine with two ethers as linkers - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,DT,,CDCC CDDC,0,
,x,DT,Tertiary amine with two ethers as linkers - Neutral,DT,OEDT,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,Tertiary amine with two ethers as linkers - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,DT,,CDCC CCDCC,0,
,x,DT,Tertiary amine with two ethers as linkers - Neutral,DT,LFDT,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,Tertiary amine with two ethers as linkers - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,DT,,CDDC CDDD,0,
,x,DT,Tertiary amine with two ethers as linkers - Neutral,DT,DUDT,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,Tertiary amine with two ethers as linkers - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,DT,,CDDC CDDC,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_DP_dev_v1.itp,Tertiary amine with two ethers as linkers - Charged,Collection of ionizable Martini 3 lipids with a tertiary amine as head and two ethers as linkers. - Charged,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,DP,Tertiary amine with two ethers as linkers - Charged,DP,DLDP,CCC,CCC,,di-C14:0,di-C14:0,Tertiary amine with two ethers as linkers - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,DP,,CCC CCC,1,
,x,DP,Tertiary amine with two ethers as linkers - Charged,DP,DSDP,CCCC,CCCC,,di-C18:0,di-C18:0,Tertiary amine with two ethers as linkers - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,DP,,CCCC CCCC,1,
,x,DP,Tertiary amine with two ethers as linkers - Charged,DP,DBDP,CCCCC,CCCCC,,di-C22:0,di-C22:0,Tertiary amine with two ethers as linkers - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,DP,,CCCCC CCCCC,1,
,x,DP,Tertiary amine with two ethers as linkers - Charged,DP,DODP,CDCC,CDCC,,di-C18:1,di-C18:1,Tertiary amine with two ethers as linkers - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,DP,,CDCC CDCC,1,
,x,DP,Tertiary amine with two ethers as linkers - Charged,DP,DVDP,CCDC,CCDC,,di-C18:1,di-C18:1,Tertiary amine with two ethers as linkers - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,DP,,CCDC CCDC,1,
,x,DP,Tertiary amine with two ethers as linkers - Charged,DP,DEDP,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DEDP),Tertiary amine with two ethers as linkers - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,DP,,CCDCC CCDCC,1,
,x,DP,Tertiary amine with two ethers as linkers - Charged,DP,DNDP,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of ionizable Martini 3 lipids  (DNDP),Tertiary amine with two ethers as linkers - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,DP,,CCCDCC CCCDCC,1,
,x,DP,Tertiary amine with two ethers as linkers - Charged,DP,SODP,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,Tertiary amine with two ethers as linkers - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,DP,,CCCC CDCC,1,
,x,DP,Tertiary amine with two ethers as linkers - Charged,DP,SLDP,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,Tertiary amine with two ethers as linkers - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,DP,,CCCC CDDC,1,
,x,DP,Tertiary amine with two ethers as linkers - Charged,DP,OLDP,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,Tertiary amine with two ethers as linkers - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,DP,,CDCC CDDC,1,
,x,DP,Tertiary amine with two ethers as linkers - Charged,DP,OEDP,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,Tertiary amine with two ethers as linkers - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,DP,,CDCC CCDCC,1,
,x,DP,Tertiary amine with two ethers as linkers - Charged,DP,LFDP,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,Tertiary amine with two ethers as linkers - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,DP,,CDDC CDDD,1,
,x,DP,Tertiary amine with two ethers as linkers - Charged,DP,DUDP,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,Tertiary amine with two ethers as linkers - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,DP,,CDDC CDDC,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_S1D_dev_v1.itp,S1D based IL -  Neutral,Collection of ionizable Martini 3 lipids,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,S1,S1D based IL -  Neutral,S1,DLS1,CCC,CCC,,di-C14:0,di-C14:0,S1D based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,S1,,CCC CCC,0,
,x,S1,S1D based IL -  Neutral,S1,DSS1,CCCC,CCCC,,di-C18:0,di-C18:0,S1D based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,S1,,CCCC CCCC,0,
